Editora,ISBN,Ano,Edição,Origem,Encadernação,Idioma,País,Páginas,preço,nome,categoria,Autores
GALERA RECORD,8501112526,2018,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,384,49.9,UM DE NÓS ESTÁ MENTINDO,TEEN,KAREN MCMANUS
GLOBO LIVROS,8525057517,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,384,59.9,1808,HISTÓRIA,LAURENTINO GOMES
GLOBAL EDITORA,8526008692,2006,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,728,130.0,CASA-GRANDE & SENZALA,HISTÓRIA,GILBERTO FREYRE
PLANETA DO BRASIL,6555352795,2021,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,288,38.42,SOMBRA E OSSOS,INFANTIL,LEIGH BARDUGO
USBORNE,140959386X,2015,1,NACIONAL,CAPA DURA,PORTUGUÊS,BRASIL,20,49.9,MINHAS PRIMEIRAS PALAVRAS,INFANTIL,FELICITY BROOKS
ROCCO,8562500550,2013,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,48,29.5,ZUMBI,INFANTIL,ANDRE VIANCO
PLANETA DO BRASIL,6555352841,2021,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,216,46.9,CARTAS A UM JOVEM TERAPEUTA,PSICOLOGIA,CONTARDO CALLIGARIS
PLANETA DO BRASIL,6555352280,2021,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,240,46.9,UMA BIOGRAFIA DA DEPRESSÃO,PSICOLOGIA,CHRISTIAN DUNCKER
ROCCO,853252978X,2018,1,NACIONAL,CAPA DURA,PORTUGUÊS,BRASIL,576,69.9,MULHERES QUE CORREM COM OS LOBOS,PSICOLOGIA,CLARISSA PINKOLA ESTES
NOVA FRONTEIRA,8520944108,2019,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,104,19.9,FASCISMO,METODOLOGIA DE PESQUISA,BENITO MUSSOLINI; LEON TROTSKI
COBOGO,8555910803,2019,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,249,52.0,MEMÓRIAS DA PLANTAÇÃO,CIÊNCIAS SOCIAIS,GRADA KILOMBA
GIRASSOL,8539423901,2018,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,48,34.9,TURMA DA MÔNICA JOVEM,TEEN,MAURICIO SOUSA
ROCCO,8532515703,2017,1,NACIONAL,CAPA DURA,PORTUGUÊS,BRASIL,384,159.9,BOX BIBLIOTECA HOGWARTS,TEEN,J. K. ROWLING
OUTRA,9788585910921,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,4696,529.2,DICIONÁRIO DE BIOGRAFIAS CIENTÍFICAS - 3 VOLUMES,DICIONÁRIOS,DESCONHECIDO
ALTA BOOKS,8550807826,2019,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,424,69.0,ABUNDÂNCIA,SUSTENTABILIDADE,PETER H. DIAMANDIS; STEVEN KOTLER
PLANETA DO BRASIL,8542212347,2018,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,192,42.9,"A SORTE SEGUE A CORAGEM ! - OPORTUNIDADES, COMPETÊNCIAS E TEMPOS DE VIDA",FILOSOFIA,MARIO SERGIO CORTELLA
OUTRA,9786550512620,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,960,61.54,MINI AURÉLIO: DICIONÁRIO DA LÍNGUA PORTUGUESA,DICIONÁRIOS,DESCONHECIDO
OUTRA,9788586368752,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,1488,112.32,NOVÍSSIMO AULETE,DICIONÁRIOS,DESCONHECIDO
OUTRA,9788506027592,2014,1,NACIONAL,CAPA DURA,PORTUGUÊS,BRASIL,2268,296.4,MICHAELIS: MODERNO DICIONÁRIO DA LÍNGUA PORTUGUESA,DICIONÁRIOS,DESCONHECIDO
OUTRA,9786550514143,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,428,65.44,DICIONÁRIO AURELINHO INFANTIL,DICIONÁRIOS,DESCONHECIDO
OUTRA,9788523005764,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,475,23.4,DICIONÁRIO DO VOTO,DICIONÁRIOS,DESCONHECIDO
PAPIRUS,8595550115,2018,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,112,34.9,O INFERNO SOMOS NÓS - DO ÓDIO À CULTURA DE PAZ,FILOSOFIA,LEANDRO KARNAL; MONJA COEN
OUTRA,9788572693738,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,358,93.5,IRRIGAÇÃO: PRINCÍPIOS E MÉTODOS,SUSTENTABILIDADE,DESCONHECIDO
OUTRA,9788573830712,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,120,10.14,CAVALO LAVRADEIRO EM RORAIMA,SUSTENTABILIDADE,DESCONHECIDO
OUTRA,9788594591180,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,286,64.68,AGRODIVERSIDADE AMEAÇADA,SUSTENTABILIDADE,DESCONHECIDO
