Ano de Edição,Colaborador,Editora,ISBN,Ano,Edição,Origem,Formato,Encadernação,Idioma,País,Páginas,preço,nome,categoria
2018.0,"Autor:MCMANUS, KAREN|Tradutor:GORDIRRO, ANDRE",GALERA RECORD,8501112526,2018.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,384.0,49.9,UM DE NÓS ESTÁ MENTINDO,Teen
2014.0,"Autor:GOMES, LAURENTINO",GLOBO LIVROS,8525057517,2014.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,384.0,59.9,1808,História
2006.0,"Autor:FREYRE, GILBERTO",GLOBAL EDITORA,8526008692,2006.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,728.0,130.0,CASA-GRANDE & SENZALA,História
2021.0,"Autor:BARDUGO, LEIGH",PLANETA DO BRASIL,6555352795,2021.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,288.0,38.42,SOMBRA E OSSOS,Infantil
2015.0,"Autor:BROOKS, FELICITY|Tradutor:BONNET, ROSALINDE",USBORNE,140959386X,2015.0,1.0,Nacional,LIVRO,CAPA DURA,PORTUGUÊS,BRASIL,20.0,49.9,MINHAS PRIMEIRAS PALAVRAS,Infantil
2013.0,"Autor:VIANCO, ANDRE",ROCCO -,8562500550,2013.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,48.0,29.5,ZUMBI,Infantil
2021.0,"Autor:CALLIGARIS, CONTARDO",PLANETA DO BRASIL,6555352841,2021.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,216.0,46.9,CARTAS A UM JOVEM TERAPEUTA,Psicologia
2021.0,"Autor:DUNCKER, CHRISTIAN",PLANETA DO BRASIL,6555352280,2021.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,240.0,46.9,UMA BIOGRAFIA DA DEPRESSÃO,Psicologia
2018.0,"Autor:ESTES, CLARISSA PINKOLA|Tradutor:BARCELLOS, WALDEA",ROCCO -,853252978X,2018.0,1.0,Nacional,LIVRO,CAPA DURA,PORTUGUÊS,BRASIL,576.0,69.9,MULHERES QUE CORREM COM OS LOBOS,Psicologia
2019.0,"Autor:KILOMBA, GRADA|Tradutor:OLIVEIRA, JESS",COBOGO,8555910803,2019.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,249.0,52.0,MEMÓRIAS DA PLANTAÇÃO,Ciências Sociais
2018.0,"Autor:SOUSA, MAURICIO",GIRASSOL,8539423901,2018.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,48.0,34.9,TURMA DA MÔNICA JOVEM,Teen
2017.0,"Tradutor:WYLER, LIA|Autor:ROWLING, J. K.",ROCCO -,8532515703,2017.0,1.0,Nacional,LIVRO,CAPA DURA,PORTUGUÊS,BRASIL,384.0,159.9,BOX BIBLIOTECA HOGWARTS,Teen
2019.0,"Autor:KOTLER, STEVEN|Autor:DIAMANDIS, PETER H.",ALTA BOOKS -,8550807826,2019.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,424.0,69.0,ABUNDÂNCIA,Sustentabilidade
